TimeId,GameId,Day,Month,Year,StartTime
471,2014R0703,3,5,2014,2:10 PM
472,2014R0704,3,5,2014,4:10 PM
473,2014R0705,3,5,2014,7:40 PM
474,2014R0706,3,5,2014,7:40 PM
475,2014R0707,4,5,2014,1:10 PM
476,2014R0708,4,5,2014,3:20 PM
477,2014R0709,4,5,2014,2:40 PM
478,2014R0801,9,5,2014,7:50 PM
479,2014R0802,10,5,2014,1:10 PM
480,2014R0803,10,5,2014,4:40 PM
481,2014R0804,10,5,2014,7:40 PM
482,2014R0805,11,5,2014,2:40 PM
483,2014R0806,12,5,2014,7:20 PM
484,2014R0901,15,5,2014,7:20 PM
485,2014R0902,16,5,2014,7:50 PM
486,2014R0903,17,5,2014,1:40 PM
487,2014R0904,17,5,2014,4:40 PM
488,2014R0905,17,5,2014,5:40 PM
489,2014R0906,18,5,2014,4:40 PM
490,2014R1001,23,5,2014,7:50 PM
491,2014R1002,24,5,2014,1:40 PM
492,2014R1003,24,5,2014,4:40 PM
493,2014R1004,24,5,2014,7:10 PM
494,2014R1005,25,5,2014,3:20 PM
495,2014R1006,25,5,2014,4:40 PM
496,2014R1101,29,5,2014,7:10 PM
497,2014R1102,30,5,2014,7:50 PM
498,2014R1103,31,5,2014,1:10 PM
499,2014R1104,31,5,2014,4:40 PM
500,2014R1105,31,5,2014,7:45 PM
501,2014R1106,1,6,2014,12:40 PM
502,2014R1107,1,6,2014,3:20 PM
503,2014R1108,1,6,2014,4:40 PM
504,2014R1109,1,6,2014,5:40 PM
505,2014R1201,6,6,2014,7:50 PM
506,2014R1202,7,6,2014,1:40 PM
507,2014R1203,7,6,2014,4:10 PM
508,2014R1204,7,6,2014,7:40 PM
509,2014R1205,7,6,2014,7:40 PM
510,2014R1206,8,6,2014,3:20 PM
511,2014R1207,8,6,2014,2:10 PM
512,2014R1208,8,6,2014,7:10 PM
513,2014R1209,9,6,2014,3:20 PM
514,2014R1301,13,6,2014,7:50 PM
515,2014R1302,14,6,2014,1:45 PM
516,2014R1303,14,6,2014,2:10 PM
517,2014R1304,14,6,2014,2:40 PM
518,2014R1305,14,6,2014,7:10 PM
519,2014R1306,14,6,2014,7:40 PM
520,2014R1307,15,6,2014,1:10 PM
521,2014R1308,15,6,2014,3:20 PM
522,2014R1309,15,6,2014,4:40 PM
523,2014R1401,20,6,2014,7:50 PM
524,2014R1402,21,6,2014,1:15 PM
525,2014R1403,21,6,2014,2:10 PM
526,2014R1404,21,6,2014,4:40 PM
527,2014R1405,21,6,2014,5:40 PM
528,2014R1406,21,6,2014,7:40 PM
529,2014R1407,22,6,2014,1:10 PM
530,2014R1408,22,6,2014,3:20 PM
531,2014R1409,22,6,2014,4:40 PM
532,2014R1501,27,6,2014,7:50 PM
533,2014R1502,28,6,2014,1:45 PM
534,2014R1503,28,6,2014,2:10 PM
535,2014R1504,28,6,2014,2:40 PM
536,2014R1505,28,6,2014,7:40 PM
537,2014R1506,28,6,2014,7:40 PM
538,2014R1507,29,6,2014,1:10 PM
539,2014R1508,29,6,2014,3:40 PM
540,2014R1509,29,6,2014,7:10 PM
541,2014R1601,4,7,2014,7:50 PM
542,2014R1602,5,7,2014,1:45 PM
543,2014R1603,5,7,2014,2:10 PM
544,2014R1604,5,7,2014,4:40 PM
545,2014R1605,5,7,2014,7:10 PM
546,2014R1606,5,7,2014,7:10 PM
547,2014R1607,6,7,2014,1:10 PM
548,2014R1608,6,7,2014,1:20 PM
549,2014R1609,6,7,2014,4:40 PM
550,2014R1701,11,7,2014,7:20 PM
551,2014R1702,12,7,2014,1:45 PM
552,2014R1703,12,7,2014,2:10 PM
553,2014R1704,12,7,2014,4:40 PM
554,2014R1705,12,7,2014,7:40 PM
555,2014R1706,12,7,2014,7:40 PM
556,2014R1707,13,7,2014,1:10 PM
557,2014R1708,13,7,2014,3:20 PM
558,2014R1709,13,7,2014,2:40 PM
559,2014R1801,18,7,2014,7:50 PM
560,2014R1802,19,7,2014,4:40 PM
